Rank,Player,Team,Pos,Game,Spread,O/U,Final_Proj,Ceiling,Floor,Std_Dev,Ownership,Leverage,Status,Notes
1,Nikola Jokic,DEN,C,CLE @ DEN,CLE -1.5,237.5,61.5,72,48,8.2,87%,CHALK,ACTIVE,Must-have chalk
2,Donovan Mitchell,CLE,G,CLE @ DEN,CLE -1.5,237.5,52.1,68,38,9.1,72%,STACK,ACTIVE,High usage game
3,James Harden,CLE,G,CLE @ DEN,CLE -1.5,237.5,48.7,62,35,7.8,58%,LEVERAGE,ACTIVE,2nd game integration
4,Cade Cunningham,DET,G,DET @ CHA,DET -2.5,223.5,45.2,54,35,7.5,58%,NEUTRAL,ACTIVE,Tight game minutes
5,Anthony Edwards,MIN,G,ATL @ MIN,MIN -6.5,237.5,48.2,58,35,9.4,68%,FADE,ACTIVE,Shooter variance risk
6,Jamal Murray,DEN,G,CLE @ DEN,CLE -1.5,237.5,42.8,52,28,8.1,52%,GTD,GTD,Hip 75% confidence
7,Bam Adebayo,MIA,C,UTA @ MIA,MIA -8.5,242.5,39.1,48,28,7.2,38%,UNDEROWNED,ACTIVE,CONFIRMED AVAILABLE - best matchup
8,Julius Randle,MIN,PF,ATL @ MIN,MIN -6.5,237.5,38.1,47,28,7.6,45%,NEUTRAL,ACTIVE,Fast pace floor
9,Lauri Markkanen,UTA,C,UTA @ MIA,MIA -8.5,242.5,37.2,48,24,8.3,55%,FADE,ACTIVE,Blowout benching risk
10,Rudy Gobert,MIN,C,ATL @ MIN,MIN -6.5,237.5,35.4,45,26,6.8,33%,UNDEROWNED,ACTIVE,Hidden gem value
11,Paolo Banchero,ORL,F,MIL @ ORL,ORL -10.5,218.5,36.5,46,25,7.8,49%,AVOID,ACTIVE,Lowest O/U game
12,Anfernee Simons,CHI,G,CHI @ BKN,CHI -3.5,223.5,32.4,42,22,6.4,48%,VALUE,ACTIVE,Recent trade from BOS - expanded role now
13,Jalen Suggs,ORL,G,MIL @ ORL,ORL -10.5,218.5,31.2,40,22,6.1,62%,FADE,ACTIVE,Overowned low O/U
14,Trey Murphy III,NOP,G,SAC @ NOP,TBD,~215,32.1,42,22,6.4,52%,NEUTRAL,ACTIVE,Consistent scorer
15,LaMelo Ball,CHA,G,DET @ CHA,DET -2.5,223.5,28.5,38,18,6.9,42%,VALUE,ACTIVE,APG upside
16,Danny Wolf,BKN,F,CHI @ BKN,CHI -3.5,223.5,28.4,38,18,6.9,41%,VALUE,ACTIVE,5x value play
17,Devin Carter,SAC,G,SAC @ NOP,TBD,~215,26.1,36,16,6.8,35%,VALUE,ACTIVE,Usage spike Sabonis OUT
18,Jaren Jackson Jr.,UTA,F,UTA @ MIA,MIA -8.5,242.5,26.4,34,16,6.1,31%,VALUE,ACTIVE,Block upside
19,Jeremiah Fears,NOP,G,SAC @ NOP,TBD,~215,24.8,35,15,6.2,28%,VALUE_LEVERAGE,ACTIVE,Best sub-$5K
20,Christian Braun,DEN,G,CLE @ DEN,CLE -1.5,237.5,21.2,30,12,6.1,19%,GTD,GTD,Ankle 70%
21,Dyson Daniels,ATL,G,ATL @ MIN,MIN -6.5,237.5,22.3,32,14,6.2,24%,GTD,GTD,Ankle 75%
22,Ziaire Williams,BKN,F,CHI @ BKN,CHI -3.5,223.5,23.5,32,14,5.8,31%,VALUE_FLIER,ACTIVE,Deep flier
23,Brandon Ingram,NOP,F,SAC @ NOP,TBD,~215,24.3,33,14,6.2,38%,NEUTRAL,ACTIVE,Consistent scorer
24,Brandon Miller,CHA,F,DET @ CHA,DET -2.5,223.5,24.1,33,14,6.5,35%,VALUE,ACTIVE,Young star
25,Austin Reaves,LAL,G,OKC @ LAL,OKC -4,220.5,24.3,33,14,6.1,32%,VALUE,ACTIVE,Expanded role
26,Nick Richards,CHA,C,DET @ CHA,DET -2.5,223.5,22.8,31,12,6.2,29%,VALUE,ACTIVE,Block upside
27,John Collins,UTA,PF,UTA @ MIA,MIA -8.5,242.5,22.1,30,12,6.1,32%,VALUE,ACTIVE,Reliable scorer
28,Naz Reid,MIN,C,ATL @ MIN,MIN -6.5,237.5,23.4,32,13,6.0,26%,VALUE,ACTIVE,Backup C value
29,Darius Garland,LAC,G,OKC @ LAL,OKC -4,220.5,23.7,32,13,6.1,25%,VALUE,GTD,Toe 75%
30,D'Angelo Russell,LAL,G,OKC @ LAL,OKC -4,220.5,22.1,30,12,6.0,21%,VALUE,GTD,Illness 80%
31,Isaiah Stewart,DET,F,DET @ CHA,DET -2.5,223.5,20.4,28,11,5.9,24%,VALUE_FLIER,ACTIVE,Frontcourt depth
32,Herbert Jones,NOP,F,SAC @ NOP,TBD,~215,19.8,28,10,5.9,21%,VALUE,ACTIVE,Defensive forward
33,Jaden Ivey,DET,G,DET @ CHA,DET -2.5,223.5,19.6,27,10,5.8,21%,FLIER,ACTIVE,Young upside
34,Wendell Carter Jr.,ORL,C,MIL @ ORL,ORL -10.5,218.5,18.2,26,9,5.6,14%,GAME_TIME,GTD,Ankle game-time decision
35,Isaiah Jackson,LAC,C,OKC @ LAL,OKC -4,220.5,18.6,26,10,5.6,14%,FLIER,GTD,GTD not injury
36,Simone Fontecchio,UTA,F,UTA @ MIA,MIA -8.5,242.5,18.9,26,10,5.7,19%,DEEP_VALUE,ACTIVE,Role player
37,Caleb Martin,MIA,F,UTA @ MIA,MIA -8.5,242.5,16.4,23,8,5.4,15%,DEEP_FLIER,ACTIVE,Energy guy
38,Cole Anthony,PHX,G,PHX vs HOU,TBD,TBD,17.2,24,9,5.5,12%,FLIER,ACTIVE,Backup PG
39,Rui Hachimura,LAL,F,OKC @ LAL,OKC -4,220.5,19.7,27,10,5.8,18%,VALUE,ACTIVE,Forward depth
40,Trey Burke,OKC,G,OKC @ LAL,OKC -4,220.5,17.2,24,9,5.5,12%,DEEP_FLIER,ACTIVE,Backup depth
