rank,name,team,fppg_base,usage_boost,game_script,ceiling,proj_fp,category,reasoning
1,Anthony Edwards,MIN,29.6,+2.5,Pace,70.9,58.8,Elite/Ceiling,"MIN fastest pace, Julius out minutes → Edwards boom potential"
2,Jalen Johnson,ATL,23.4,+4.0,Chase,74.1,57.2,Elite,"ATL in high O/U, sole wing scorer now (Kuminga out), elite ceiling"
3,Donovan Mitchell,CLE,28.9,+2.0,Chase,64.0,51.1,Elite,"High O/U game, gets more usage without Mobley"
4,James Harden,CLE,25.4,+3.5,Chase,62.8,49.8,Elite,"DEN-CLE chase game, touches guaranteed"
5,Tyrese Maxey,PHI,28.8,+1.5,Value,63.3,49.3,Elite,"Embiid out (70% Q) = more ball usage, less crowding"
6,Julius Randle,MIN,22.1,+5.0,Pace,61.6,49.1,Elite/Value,"MIN pace boost + usage spike, was hidden gem, now essential"
7,Cade Cunningham,DET,25.1,+2.0,Spot,61.6,47.8,Solid,"Duren probably (80%), but Cunningham usage up vs uncertainty"
8,Lauri Markkanen,UTA,27.1,+2.5,Mismatch,61.1,48.2,Value,"UTA @ MIA = weak interior D, Lauri exploits, high usage"
9,Austin Reaves,LAL,26.1,+3.0,Usage,52.9,46.7,Mid/Value,"Luka out = more touches, better efficiency without defensive focus"
10,Nikola Jokić,DEN,28.9,+3.5,Probable80%,89.0,47.3,Elite/Risk,"80% Probable (not 100%), but elite ceiling if plays. Adjust down for risk"
11,Bam Adebayo,MIA,18.2,+6.0,Healthier,52.2,45.8,Mid/Value,"MIA healthier team, Bam efficiency up, defense anchor"
12,Jaren Jackson Jr.,UTA,19.3,+2.5,Spot,50.9,41.5,Solid,"UTA gets healthier, JJJ usage stable, floor reliable"
13,Paolo Banchero,ORL,21.7,+1.5,Healthy,50.7,41.2,Solid,"All healthy, consistent scorer, not boom/bust"
14,Onyeka Okongwu,ATL,16.3,+4.5,Pace,50.4,42.1,Value,"ATL pace play, gets minutes with Johnson, high ceiling"
15,Nickeil Alexander-Walker,ATL,20.2,+3.0,Pace,49.2,41.3,Value,"ATL stack depth, benefits from pace, good floor"
16,Tyler Herro,MIA,21.9,+2.0,Healthy,48.0,41.2,Solid,"MIA healthier, Herro consistent, good mid-range value"
17,Rudy Gobert,MIN,10.7,+4.0,Pace,49.5,41.8,Contrarian,"MIN pace = more Gobert defensive plays + boards, undervalued"
18,Chet Holmgren,OKC,17.7,+1.5,Healthy,46.3,39.6,Solid,"All healthy, consistent two-way, good floor"
19,Jusuf Nurkić,UTA,11.0,+3.0,Healthier,49.4,40.1,Value,"UTA stack, boards + passes up, low ceiling but safe"
20,Norman Powell,MIA,23.0,+1.5,Healthy,46.4,39.8,Solid,"MIA healthy, Powell consistent, spot-up game"
21,LaMelo Ball,CHA,19.1,+1.0,Healthy,45.9,38.1,Solid,"CHA healthy core, LaMelo usage unchanged, solid option"
22,Jamal Murray,DEN,26.0,+2.5,Chase70%Q,62.9,38.6,Risky,"70% Q = risky, but if plays in chase game, elite value"
23,Jalen Duren,DET,17.7,+2.5,Probable80%,45.2,38.3,Value,"80% Probable, boom/bust, good tournament ceiling"
24,Kevin Porter Jr.,MIL,17.1,+1.5,Healthy,44.9,37.4,Depth,"MIL healthy, Porter spot-up, good role"
25,Naz Reid,MIN,14.4,+3.5,Pace,44.9,39.2,Value,"MIN pace = Reid touches up, boards + finishes, underowned"
26,CJ McCollum,ATL,18.4,+3.0,Pace,41.8,37.8,Value,"ATL pace play, McCollum gets more touches"
27,Jarrett Allen,CLE,14.3,+2.5,Chase,44.0,36.9,Solid,"CLE chase game, Allen boards + dunks, good floor"
28,Brandon Miller,CHA,20.3,+1.0,Healthy,42.1,36.8,Solid,"CHA healthy, Miller consistent scorer"
29,Jaden McDaniels,MIN,14.8,+3.0,Pace,41.5,37.1,Value,"MIN pace boost, McDaniels transitions, good floor"
30,Donte DiVincenzo,MIN,13.0,+2.5,Pace,43.1,35.9,Value,"MIN pace, DiVincenzo 3-ball game, good spot"
31,Andrew Wiggins,MIA,15.7,+1.5,Healthy,42.8,36.1,Solid,"MIA healthy, Wiggins consistent role"
32,Russell Westbrook,SAC,15.3,+1.5,Healthy,41.9,35.4,Solid,"SAC healthy, Russ passing/boards up"
33,Desmond Bane,ORL,19.3,+0.5,Healthy,40.8,35.3,Solid,"ORL healthy, Bane consistent scorer"
34,Jalen Williams,OKC,16.8,+0.5,Healthy,43.3,35.1,Solid,"OKC missing Shai, but Williams usage stable"
35,Jaime Jaquez Jr.,MIA,15.2,+1.0,Healthy,40.9,34.6,Depth,"MIA healthy, Jaquez consistency"
36,Joel Embiid,PHI,26.6,+0.0,Questionable70%Q,54.9,29.6,Risky,"70% Q drops value significantly, too risky in tournament"
37,Deni Avdija,POR,25.5,+1.0,Questionable70%Q,53.0,28.8,Risky,"70% Q, lower ceiling, skip if better options"
38,Franz Wagner,ORL,22.2,+0.5,Questionable70%Q,46.5,25.1,Risky,"70% Q, avoid in tournament play"
39,Domantas Sabonis,SAC,15.8,+2.0,Questionable70%Q,45.4,24.5,Risky,"70% Q boards/passing, too risky"
40,Christian Braun,DEN,9.1,+1.5,Probable80%,26.8,18.4,Late,"80% P, role player, spot-up game only"
41,Dyson Daniels,ATL,11.4,+1.5,Questionable70%Q,47.6,25.7,Risky,"70% Q, ATL pace helps, but ankle injury risk"
42,Scoot Henderson,POR,21.4,+1.0,Probable80%,38.2,23.8,Late,"80% P, young scorer, good ceiling if plays"
43,Corey Kispert,ATL,9.7,+1.5,Pace,22.0,15.2,Very Late,"ATL pace 3-ball, filler option"
44,Buddy Hield,ATL,8.0,+1.5,Pace,21.7,14.5,Very Late,"ATL pace, spot-up shooter, floor safe"
45,Zaccharie Risacher,ATL,10.9,+1.0,Pace,29.5,16.8,Very Late,"ATL pace rookie, ceiling play only"
46,Jaylon Tyson,CLE,14.0,+0.5,Questionable70%Q,37.2,20.0,Late/Risky,"70% Q ankle, risky but CLE chase game"
47,Dean Wade,CLE,5.8,+1.5,Questionable70%Q,23.0,12.4,Very Late,"70% Q, defense only, floor very low"
48,Robert Williams,POR,6.4,+1.0,Questionable70%Q,25.1,13.5,Very Late,"70% Q, boards/defense only"
49,Walter Clayton Jr.,MEM,13.6,+0.5,Questionable70%Q,32.2,10.2,Avoid,"70% Q, MEM decimated, skip"
50,Deandre Ayton,LAL,13.4,+1.5,Probable80%,34.1,21.0,Late,"80% P boards/finishing, LAL needs him"
