rank,name,team,projection,ceiling,floor,vegas_adj,defense_adj,pace_adj,ppg,injury_status,adjusted_projection
1,Nikola Jokić,DEN,68.48,89.0,47.9,5.0,-3.4,0.9,28.9,PROBABLE (80%),54.78
2,Jalen Johnson,ATL,56.98,74.1,39.9,4.0,0.0,0.9,23.4,Healthy,56.98
3,Anthony Edwards,MIN,54.51,70.9,38.2,3.6,2.4,0.9,29.6,Healthy,54.51
4,Donovan Mitchell,CLE,49.22,64.0,34.5,3.6,0.0,0.0,28.9,Healthy,49.22
5,Tyrese Maxey,PHI,48.68,63.3,34.1,-4.0,2.3,0.2,28.8,Healthy,48.68
6,James Harden,CLE,48.29,62.8,33.8,3.6,0.0,0.0,25.4,Healthy,48.29
7,Julius Randle,MIN,47.4,61.6,33.2,3.2,2.2,0.8,22.1,Healthy,47.4
8,Cade Cunningham,DET,47.36,61.6,33.2,-3.9,2.3,-0.1,25.1,Healthy,47.36
9,Lauri Markkanen,UTA,46.99,61.1,32.9,3.1,2.2,0.1,27.1,Healthy,46.99
10,Jamal Murray,DEN,48.4,62.9,33.9,3.5,-2.4,0.6,26.0,QUESTIONABLE (70%),33.88
11,Paolo Banchero,ORL,38.97,50.7,27.3,-3.3,1.9,-0.3,21.7,Healthy,38.97
12,Onyeka Okongwu,ATL,38.77,50.4,27.1,2.8,0.0,0.6,16.3,Healthy,38.77
13,Rudy Gobert,MIN,38.09,49.5,26.7,2.6,1.8,0.7,10.7,Healthy,38.09
14,Jusuf Nurkić,UTA,38.03,49.4,26.6,2.5,1.8,0.1,11.0,Healthy,38.03
15,Joel Embiid,PHI,42.24,54.9,29.6,-3.5,2.0,0.2,26.6,QUESTIONABLE (70%),29.57
16,Deni Avdija,POR,40.77,53.0,28.5,-3.6,0.0,-0.2,25.5,QUESTIONABLE (70%),28.54
17,Austin Reaves,LAL,40.67,52.9,28.5,-3.3,0.0,0.4,26.1,Healthy,40.67
18,Bam Adebayo,MIA,40.19,52.2,28.1,2.8,0.0,-0.2,18.2,Healthy,40.19
19,Jaren Jackson Jr.,UTA,39.14,50.9,27.4,2.6,1.9,0.1,19.3,Healthy,39.14
20,Franz Wagner,ORL,35.78,46.5,25.0,-3.0,1.7,-0.3,22.2,QUESTIONABLE (70%),25.05
21,Norman Powell,MIA,35.71,46.4,25.0,2.5,0.0,-0.2,23.0,Healthy,35.71
22,Chet Holmgren,OKC,35.64,46.3,24.9,-2.9,1.7,0.4,17.7,Healthy,35.64
23,LaMelo Ball,CHA,35.3,45.9,24.7,-3.0,1.7,-0.4,19.1,Healthy,35.3
24,Jalen Duren,DET,34.74,45.2,24.3,-2.9,1.7,-0.1,17.7,QUESTIONABLE (70%),24.32
25,Kevin Porter Jr.,MIL,34.55,44.9,24.2,-3.2,-1.8,0.0,17.1,Healthy,34.55
26,Naz Reid,MIN,34.53,44.9,24.2,2.4,1.6,0.6,14.4,Healthy,34.53
27,Jarrett Allen,CLE,33.83,44.0,23.7,2.5,0.0,0.0,14.3,Healthy,33.83
28,Jalen Williams,OKC,33.31,43.3,23.3,-2.7,1.6,0.4,16.8,Healthy,33.31
29,Donte DiVincenzo,MIN,33.17,43.1,23.2,2.3,1.6,0.6,13.0,Healthy,33.17
30,Andrew Wiggins,MIA,32.91,42.8,23.0,2.3,0.0,-0.2,15.7,Healthy,32.91
31,Brandon Miller,CHA,32.41,42.1,22.7,-2.7,1.6,-0.3,20.3,Healthy,32.41
32,Russell Westbrook,SAC,32.24,41.9,22.6,-2.7,1.5,-0.0,15.3,Healthy,32.24
33,CJ McCollum,ATL,32.18,41.8,22.5,2.3,0.0,0.5,18.4,Healthy,32.18
34,Jaden McDaniels,MIN,31.89,41.5,22.3,2.2,1.5,0.5,14.8,Healthy,31.89
35,Aaron Gordon,DEN,31.82,41.4,22.3,2.4,-1.7,0.4,17.7,OUT,0.0
36,Jaime Jaquez Jr.,MIA,31.45,40.9,22.0,2.2,0.0,-0.2,15.2,Healthy,31.45
37,Desmond Bane,ORL,31.41,40.8,22.0,-2.6,1.5,-0.2,19.3,Healthy,31.41
38,Tyler Herro,MIA,36.96,48.0,25.9,2.6,0.0,-0.2,21.9,Healthy,36.96
39,Dyson Daniels,ATL,36.65,47.6,25.7,2.7,0.0,0.6,11.4,QUESTIONABLE (70%),25.66
40,Nickeil Alexander-Walker,ATL,37.81,49.2,26.5,2.7,0.0,0.6,20.2,Healthy,37.81
41,Jaren Jackson Jr.,UTA,39.14,50.9,27.4,2.6,1.9,0.1,19.3,Healthy,39.14
42,Keyonte George,UTA,44.28,57.6,31.0,2.9,2.1,0.1,23.8,OUT,0.0
43,Onyeka Okongwu,ATL,38.77,50.4,27.1,2.8,0.0,0.6,16.3,Healthy,38.77
44,Rudy Gobert,MIN,38.09,49.5,26.7,2.6,1.8,0.7,10.7,Healthy,38.09
45,Jusuf Nurkić,UTA,38.03,49.4,26.6,2.5,1.8,0.1,11.0,Healthy,38.03
46,Naz Reid,MIN,34.53,44.9,24.2,2.4,1.6,0.6,14.4,Healthy,34.53
47,Donte DiVincenzo,MIN,33.17,43.1,23.2,2.3,1.6,0.6,13.0,Healthy,33.17
48,Jarrett Allen,CLE,33.83,44.0,23.7,2.5,0.0,0.0,14.3,Healthy,33.83
49,CJ McCollum,ATL,32.18,41.8,22.5,2.3,0.0,0.5,18.4,Healthy,32.18
50,Jaden McDaniels,MIN,31.89,41.5,22.3,2.2,1.5,0.5,14.8,Healthy,31.89
